Training_Region_Cell_ID,D_model1,D_model2,D_dataCat,D_dataFeat,D_kgS0,D_kgS1,D_kgS2,D_kgS3,D_nopredTarget,D_onto,invalid_cell,type,cell-pair(s),family,setID,trial_ID,status,comments
225,1,1,3,1,1,1,1,1,3,3,,,,,,,,
226,1,1,3,1,2,1,1,1,1,1,D,,,,,,,
227,1,1,3,1,2,1,1,1,1,2,,,,,,,,
228,1,1,3,1,2,1,1,1,1,3,,,,,,,,
229,1,1,3,1,2,1,1,1,2,1,D,,,,,,,
230,1,1,3,1,2,1,1,1,2,2,,,,,,,,
231,1,1,3,1,2,1,1,1,2,3,,,,,,,,
232,1,1,3,1,2,1,1,1,3,1,D,,,,,,,
233,1,1,3,1,2,1,1,1,3,2,,,,,,,,
234,1,1,3,1,2,1,1,1,3,3,,,,,,,,
235,1,1,3,1,3,1,1,1,1,1,D,,,,,,,
236,1,1,3,1,3,1,1,1,1,2,,,,,,,,
237,1,1,3,1,3,1,1,1,1,3,,,,,,,,
238,1,1,3,1,3,1,1,1,2,1,D,,,,,,,
239,1,1,3,1,3,1,1,1,2,2,,,,,,,,
240,1,1,3,1,3,1,1,1,2,3,,,,,,,,
241,1,1,3,1,3,1,1,1,3,1,D,,,,,,,
242,1,1,3,1,3,1,1,1,3,2,,,,,,,,
243,1,1,3,1,3,1,1,1,3,3,,,,,,,,
244,1,1,3,2,1,1,1,1,1,1,C,,,,,,,
245,1,1,3,2,1,1,1,1,1,2,,,,,,,,
246,1,1,3,2,1,1,1,1,1,3,,,,,,,,
247,1,1,3,2,1,1,1,1,2,1,C,,,,,,,
248,1,1,3,2,1,1,1,1,2,2,,,,,,,,
249,1,1,3,2,1,1,1,1,2,3,,,,,,,,
250,1,1,3,2,1,1,1,1,3,1,C,,,,,,,
251,1,1,3,2,1,1,1,1,3,2,,,,,,,,
252,1,1,3,2,1,1,1,1,3,3,,,,,,,,
253,1,1,3,2,2,1,1,1,1,1,D,,,,,,,
254,1,1,3,2,2,1,1,1,1,2,,,,,,,,
255,1,1,3,2,2,1,1,1,1,3,,,,,,,,
256,1,1,3,2,2,1,1,1,2,1,D,,,,,,,
257,1,1,3,2,2,1,1,1,2,2,,,,,,,,
258,1,1,3,2,2,1,1,1,2,3,,,,,,,,
259,1,1,3,2,2,1,1,1,3,1,D,,,,,,,
260,1,1,3,2,2,1,1,1,3,2,,,,,,,,
261,1,1,3,2,2,1,1,1,3,3,,,,,,,,
262,1,1,3,2,3,1,1,1,1,1,D,,,,,,,
263,1,1,3,2,3,1,1,1,1,2,,,,,,,,
264,1,1,3,2,3,1,1,1,1,3,,,,,,,,
265,1,1,3,2,3,1,1,1,2,1,D,,,,,,,
266,1,1,3,2,3,1,1,1,2,2,,,,,,,,
267,1,1,3,2,3,1,1,1,2,3,,,,,,,,
268,1,1,3,2,3,1,1,1,3,1,D,,,,,,,
269,1,1,3,2,3,1,1,1,3,2,,,,,,,,
270,1,1,3,2,3,1,1,1,3,3,,,,,,,,
271,1,1,3,3,1,1,1,1,1,1,C,,,,,,,
272,1,1,3,3,1,1,1,1,1,2,,,,,,,,
273,1,1,3,3,1,1,1,1,1,3,,,,,,,,
274,1,1,3,3,1,1,1,1,2,1,C,,,,,,,
275,1,1,3,3,1,1,1,1,2,2,,,,,,,,
276,1,1,3,3,1,1,1,1,2,3,,,,,,,,
277,1,1,3,3,1,1,1,1,3,1,C,,,,,,,
278,1,1,3,3,1,1,1,1,3,2,,,,,,,,
279,1,1,3,3,1,1,1,1,3,3,,,,,,,,
280,1,1,3,3,2,1,1,1,1,1,D,,,,,,,
281,1,1,3,3,2,1,1,1,1,2,,,,,,,,
282,1,1,3,3,2,1,1,1,1,3,,,,,,,,
283,1,1,3,3,2,1,1,1,2,1,D,,,,,,,
284,1,1,3,3,2,1,1,1,2,2,,,,,,,,
285,1,1,3,3,2,1,1,1,2,3,,,,,,,,
286,1,1,3,3,2,1,1,1,3,1,D,,,,,,,
287,1,1,3,3,2,1,1,1,3,2,,,,,,,,
288,1,1,3,3,2,1,1,1,3,3,,,,,,,,
289,1,1,3,3,3,1,1,1,1,1,D,,,,,,,
290,1,1,3,3,3,1,1,1,1,2,,,,,,,,
291,1,1,3,3,3,1,1,1,1,3,,,,,,,,
292,1,1,3,3,3,1,1,1,2,1,D,,,,,,,
293,1,1,3,3,3,1,1,1,2,2,,,,,,,,
294,1,1,3,3,3,1,1,1,2,3,,,,,,,,
295,1,1,3,3,3,1,1,1,3,1,D,,,,,,,
296,1,1,3,3,3,1,1,1,3,2,,,,,,,,
297,1,1,3,3,3,1,1,1,3,3,,,,,,,,
298,1,1,3,4,1,1,1,1,1,1,C,,,,,,,
299,1,1,3,4,1,1,1,1,1,2,,,,,,,,
300,1,1,3,4,1,1,1,1,1,3,,,,,,,,
301,1,1,3,4,1,1,1,1,2,1,C,,,,,,,
302,1,1,3,4,1,1,1,1,2,2,,,,,,,,
303,1,1,3,4,1,1,1,1,2,3,,,,,,,,
304,1,1,3,4,1,1,1,1,3,1,C,,,,,,,
305,1,1,3,4,1,1,1,1,3,2,,,,,,,,
306,1,1,3,4,1,1,1,1,3,3,,,,,,,,
307,1,1,3,4,2,1,1,1,1,1,D,,,,,,,
308,1,1,3,4,2,1,1,1,1,2,,,,,,,,
309,1,1,3,4,2,1,1,1,1,3,,,,,,,,
310,1,1,3,4,2,1,1,1,2,1,D,,,,,,,
311,1,1,3,4,2,1,1,1,2,2,,,,,,,,
312,1,1,3,4,2,1,1,1,2,3,,,,,,,,
313,1,1,3,4,2,1,1,1,3,1,D,,,,,,,
314,1,1,3,4,2,1,1,1,3,2,,,,,,,,
315,1,1,3,4,2,1,1,1,3,3,,,,,,,,
316,1,1,3,4,3,1,1,1,1,1,D,,,,,,,
317,1,1,3,4,3,1,1,1,1,2,,,,,,,,
318,1,1,3,4,3,1,1,1,1,3,,,,,,,,
319,1,1,3,4,3,1,1,1,2,1,D,,,,,,,
320,1,1,3,4,3,1,1,1,2,2,,,,,,,,
321,1,1,3,4,3,1,1,1,2,3,,,,,,,,
322,1,1,3,4,3,1,1,1,3,1,D,,,,,,,
323,1,1,3,4,3,1,1,1,3,2,,,,,,,,
324,1,1,3,4,3,1,1,1,3,3,,,,,,,,
325,1,2,1,1,1,1,1,1,1,1,,,,,,,,
326,1,2,1,1,1,1,1,1,1,2,A,,,,,,,
327,1,2,1,1,1,1,1,1,1,3,A,,,,,,,
328,1,2,1,1,1,1,1,1,2,1,,,,,,,,
329,1,2,1,1,1,1,1,1,2,2,A,,,,,,,
330,1,2,1,1,1,1,1,1,2,3,A,,,,,,,
331,1,2,1,1,1,1,1,1,3,1,,,,,,,,
332,1,2,1,1,1,1,1,1,3,2,A,,,,,,,
